Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Fare_Per_KM
2024-07-15 13:05:00,13:05:00,CNR5027055473,Success,CID683844,Prime Plus,Bellandur,Langford Town,259.0,125.0,,,No,,2412,Cash,2,"4,6","3,1",1206.0
2024-07-16 21:01:00,21:01:00,CNR3807926935,Success,CID832774,eBike,Vijayanagar,Frazer Town,266.0,75.0,,,No,,2822,UPI,3,"4,5",4,940.6666666666666
2024-07-16 00:31:00,00:31:00,CNR8007799254,Success,CID385880,Prime Sedan,Kammanahalli,Sarjapur Road,252.0,125.0,,,No,,2888,UPI,4,"3,8","3,2",722.0
2024-07-29 06:02:00,06:02:00,CNR9279477444,Success,CID420911,eBike,Indiranagar,Langford Town,133.0,45.0,,,No,,562,UPI,1,"3,8","4,2",562.0
2024-07-02 23:55:00,23:55:00,CNR6790174971,Success,CID441250,Mini,Padmanabhanagar,RT Nagar,70.0,65.0,,,No,,1394,UPI,2,"4,4","4,9",697.0
2024-07-25 10:33:00,10:33:00,CNR2822059177,Success,CID696968,Mini,Hulimavu,Varthur,105.0,100.0,,,Yes,Customer Demand,2045,Cash,3,"4,1","4,9",681.6666666666666
2024-07-27 19:22:00,19:22:00,CNR6441202137,Success,CID435208,Prime Sedan,Basavanagudi,Ulsoor,217.0,115.0,,,No,,702,Cash,1,"4,2","4,4",702.0
2024-07-28 01:50:00,01:50:00,CNR3507661717,Success,CID496362,Auto,Majestic,Shivajinagar,112.0,60.0,,,No,,491,Cash,1,"4,7","4,7",491.0
2024-07-29 12:12:00,12:12:00,CNR7945974515,Success,CID230040,Prime SUV,Shivajinagar,Rajajinagar,133.0,125.0,,,No,,490,Cash,1,"3,7",4,490.0
2024-07-26 13:57:00,13:57:00,CNR5885352166,Success,CID129504,Bike,Jayanagar,Vijayanagar,161.0,25.0,,,No,,899,UPI,1,"3,2","4,5",899.0
2024-07-21 17:27:00,17:27:00,CNR8030087306,Success,CID822056,Bike,Bellandur,MG Road,77.0,105.0,,,No,,2069,UPI,1,"4,2","3,8",2069.0
2024-07-11 16:49:00,16:49:00,CNR9795679404,Success,CID374233,Bike,Nagarbhavi,RT Nagar,259.0,60.0,,,No,,2238,UPI,4,"4,1","3,6",559.5
2024-07-26 07:39:00,07:39:00,CNR8472371104,Success,CID741261,Mini,Malleshwaram,Vijayanagar,266.0,110.0,,,No,,528,Cash,1,"3,3","3,9",528.0
2024-07-04 19:46:00,19:46:00,CNR9560875398,Success,CID790915,Auto,Peenya,Richmond Town,147.0,50.0,,,Yes,Customer Demand,606,Cash,1,"3,6","4,8",606.0
2024-07-25 20:16:00,20:16:00,CNR6466436239,Success,CID774542,Auto,Richmond Town,Electronic City,217.0,100.0,,,No,,2928,Cash,1,"4,6","4,4",2928.0
2024-07-04 14:39:00,14:39:00,CNR5021228216,Success,CID883160,Prime Plus,Koramangala,HSR Layout,161.0,115.0,,,No,,940,UPI,1,"4,2","4,2",940.0
2024-07-13 14:43:00,14:43:00,CNR8048757953,Success,CID965571,Mini,Sahakar Nagar,Chamarajpet,231.0,80.0,,,No,,918,UPI,1,"3,8","3,8",918.0
2024-07-02 18:59:00,18:59:00,CNR8085516918,Success,CID150442,Bike,Chamarajpet,Varthur,224.0,115.0,,,No,,2993,UPI,3,"3,8","3,4",997.6666666666666
2024-07-12 14:20:00,14:20:00,CNR2802398614,Success,CID571425,Auto,Cox Town,Kengeri,91.0,95.0,,,No,,875,Cash,1,"4,4",5,875.0
2024-07-30 22:32:00,22:32:00,CNR9021264849,Success,CID959757,eBike,Magadi Road,Magadi Road,210.0,35.0,,,No,,2920,Cash,1,"4,6","4,5",2920.0
2024-07-15 09:07:00,09:07:00,CNR3047071055,Success,CID388668,Prime Plus,MG Road,Mysore Road,252.0,40.0,,,No,,2932,UPI,1,"4,2","3,3",2932.0
2024-07-20 03:06:00,03:06:00,CNR8705681076,Success,CID376371,Mini,HSR Layout,MG Road,224.0,110.0,,,No,,1687,Cash,3,5,"3,4",562.3333333333334
2024-07-22 07:06:00,07:06:00,CNR2173118469,Success,CID716218,Mini,Vijayanagar,Cox Town,287.0,25.0,,,No,,1810,Cash,1,"3,9","4,8",1810.0
2024-07-01 08:46:00,08:46:00,CNR4363880091,Success,CID722489,Bike,Vijayanagar,Koramangala,287.0,25.0,,,No,,838,Cash,1,"4,4","3,1",838.0
2024-07-03 06:46:00,06:46:00,CNR8980403690,Success,CID201949,Auto,Ulsoor,Koramangala,224.0,110.0,,,No,,2366,Cash,4,5,"4,9",591.5
2024-07-29 04:16:00,04:16:00,CNR5902737021,Success,CID851909,eBike,BTM Layout,Kengeri,49.0,50.0,,,No,,510,Cash,1,"3,2","4,5",510.0
2024-07-22 01:02:00,01:02:00,CNR9668243444,Success,CID175758,Mini,BTM Layout,Sahakar Nagar,273.0,70.0,,,No,,2899,Cash,2,4,"4,8",1449.5
2024-07-03 10:12:00,10:12:00,CNR8509901642,Success,CID528228,Prime Sedan,Hulimavu,Peenya,126.0,70.0,,,No,,2226,Cash,4,"3,9","3,4",556.5
2024-07-07 20:04:00,20:04:00,CNR8703320313,Success,CID722130,Prime SUV,Ramamurthy Nagar,Mysore Road,203.0,125.0,,,No,,991,Cash,1,"3,4","4,5",991.0
2024-07-10 23:59:00,23:59:00,CNR4267059838,Success,CID410527,Bike,BTM Layout,Koramangala,175.0,100.0,,,No,,2605,Debit Card,3,"3,6","3,4",868.3333333333334
2024-07-04 12:07:00,12:07:00,CNR1830440550,Success,CID627045,Prime Sedan,Hebbal,Hulimavu,126.0,50.0,,,No,,998,Cash,2,"3,7","4,1",499.0
2024-07-20 11:41:00,11:41:00,CNR3842457027,Success,CID891469,Bike,Padmanabhanagar,Basavanagudi,105.0,135.0,,,No,,534,UPI,1,"3,7",3,534.0
2024-07-11 19:36:00,19:36:00,CNR2291669155,Success,CID272940,Auto,Padmanabhanagar,Ulsoor,308.0,30.0,,,No,,2550,UPI,3,"4,5","4,1",850.0
2024-07-23 23:34:00,23:34:00,CNR6927761986,Success,CID136343,Prime Sedan,Varthur,Chickpet,301.0,120.0,,,No,,2326,Cash,2,"4,9","3,7",1163.0
2024-07-07 02:24:00,02:24:00,CNR4444802368,Success,CID468129,Mini,Chamarajpet,Sarjapur Road,189.0,130.0,,,No,,502,UPI,1,"3,1","3,6",502.0
2024-07-02 14:29:00,14:29:00,CNR4120239587,Success,CID177697,Auto,Marathahalli,Hennur,77.0,30.0,,,No,,2377,Cash,3,"3,1","4,4",792.3333333333334
2024-07-09 05:37:00,05:37:00,CNR3607133751,Success,CID354493,Prime Sedan,Chamarajpet,Kadugodi,119.0,25.0,,,No,,496,Debit Card,1,"3,3","3,8",496.0
2024-07-27 10:31:00,10:31:00,CNR1219085257,Success,CID914789,Auto,Marathahalli,Bellandur,56.0,140.0,,,No,,1489,Cash,1,"4,5","3,9",1489.0
2024-07-12 10:44:00,10:44:00,CNR5457969005,Success,CID597407,Bike,Chamarajpet,Richmond Town,259.0,50.0,,,No,,2647,Cash,2,"3,3","3,1",1323.5
2024-07-17 15:05:00,15:05:00,CNR8718145701,Success,CID656887,Mini,Jayanagar,Mysore Road,154.0,65.0,,,No,,898,UPI,1,"3,3","3,1",898.0
2024-07-19 13:30:00,13:30:00,CNR8225042519,Success,CID136370,Auto,Kadugodi,Banashankari,231.0,120.0,,,No,,563,UPI,1,"4,4","3,8",563.0
2024-07-15 22:37:00,22:37:00,CNR7959938216,Success,CID633030,Auto,Whitefield,Hulimavu,266.0,55.0,,,No,,934,Cash,1,"4,9","4,5",934.0
2024-07-10 09:16:00,09:16:00,CNR7666123860,Success,CID506777,Prime SUV,Shivajinagar,Frazer Town,49.0,50.0,,,No,,843,Cash,1,"3,9","3,4",843.0
2024-07-03 04:00:00,04:00:00,CNR9418620541,Success,CID158748,Prime Sedan,MG Road,Sahakar Nagar,210.0,95.0,,,No,,605,Cash,1,"3,3",3,605.0
2024-07-11 13:34:00,13:34:00,CNR9335617898,Success,CID725538,Prime Plus,Bannerghatta Road,Kengeri,147.0,90.0,,,No,,655,UPI,1,"4,6","3,8",655.0
2024-07-24 19:52:00,19:52:00,CNR9876272617,Success,CID676516,Auto,Hosur Road,Yelahanka,238.0,105.0,,,No,,816,Cash,1,"4,3",4,816.0
2024-07-07 18:39:00,18:39:00,CNR9095100526,Success,CID595323,Bike,Rajarajeshwari Nagar,Shivajinagar,154.0,100.0,,,No,,805,UPI,1,"4,1","4,5",805.0
2024-07-30 11:38:00,11:38:00,CNR8224768638,Success,CID761513,Mini,Basavanagudi,Basavanagudi,203.0,85.0,,,No,,2647,Cash,4,"4,8",3,661.75
2024-07-04 08:56:00,08:56:00,CNR4992517191,Success,CID688426,eBike,Majestic,Bellandur,231.0,140.0,,,No,,2820,Cash,5,"3,8","4,4",564.0
2024-07-24 00:36:00,00:36:00,CNR8853531142,Success,CID268079,Auto,Devanahalli,Magadi Road,140.0,120.0,,,Yes,Vehicle Breakdown,959,Cash,1,"4,3","4,1",959.0
2024-07-01 11:07:00,11:07:00,CNR8129735691,Success,CID631594,Auto,Hosur Road,Frazer Town,168.0,95.0,,,No,,2598,Cash,5,"3,5","3,9",519.6
2024-07-01 20:04:00,20:04:00,CNR3299928544,Success,CID692649,Auto,Varthur,Vijayanagar,105.0,100.0,,,No,,2090,Cash,2,5,"3,1",1045.0
2024-07-12 22:32:00,22:32:00,CNR5930155935,Success,CID148750,eBike,Sarjapur Road,Kammanahalli,105.0,105.0,,,No,,992,UPI,1,"4,6","4,2",992.0
2024-07-20 04:15:00,04:15:00,CNR4390203692,Success,CID819225,Prime SUV,Koramangala,Hennur,140.0,75.0,,,No,,1155,Cash,1,"3,7","3,8",1155.0
2024-07-16 06:07:00,06:07:00,CNR4783573891,Success,CID119419,Prime Sedan,Tumkur Road,Marathahalli,147.0,120.0,,,No,,721,UPI,1,"3,7","3,4",721.0
2024-07-30 00:57:00,00:57:00,CNR9614696553,Success,CID754004,Prime SUV,JP Nagar,Kammanahalli,287.0,105.0,,,No,,501,UPI,1,"3,3","3,7",501.0
2024-07-15 17:22:00,17:22:00,CNR2468506039,Success,CID589200,Prime Plus,HSR Layout,Hebbal,98.0,50.0,,,No,,2323,UPI,3,"3,2","4,7",774.3333333333334
2024-07-09 01:35:00,01:35:00,CNR9776573923,Success,CID569401,Mini,Kadugodi,Mysore Road,84.0,60.0,,,No,,1138,Cash,2,"3,8","4,8",569.0
2024-07-14 08:31:00,08:31:00,CNR3360635666,Success,CID862159,Auto,Varthur,Electronic City,196.0,115.0,,,No,,1424,UPI,2,"3,5","4,1",712.0
2024-07-14 19:19:00,19:19:00,CNR9221334163,Success,CID433234,Auto,Varthur,Tumkur Road,77.0,30.0,,,No,,1591,Cash,1,"3,2","3,2",1591.0
2024-07-29 03:32:00,03:32:00,CNR3057620984,Success,CID896258,Mini,Rajarajeshwari Nagar,Devanahalli,210.0,100.0,,,No,,1904,UPI,1,"3,8","4,1",1904.0
2024-07-21 18:59:00,18:59:00,CNR1314635701,Success,CID536777,Prime Plus,Whitefield,JP Nagar,175.0,70.0,,,No,,1190,UPI,2,"3,3","3,8",595.0
2024-07-16 07:31:00,07:31:00,CNR5592259188,Success,CID128746,Auto,JP Nagar,Langford Town,259.0,140.0,,,No,,2601,Cash,5,"3,4","4,1",520.2
2024-07-09 20:44:00,20:44:00,CNR3291482342,Success,CID803555,Prime Plus,BTM Layout,Hebbal,245.0,65.0,,,No,,2274,Cash,3,"4,9","4,5",758.0
2024-07-19 18:05:00,18:05:00,CNR1669551196,Success,CID875782,eBike,Shivajinagar,HSR Layout,70.0,35.0,,,No,,1475,UPI,3,"3,6","3,6",491.6666666666667
2024-07-13 14:55:00,14:55:00,CNR5763521696,Success,CID653348,Bike,RT Nagar,Kadugodi,56.0,50.0,,,No,,856,UPI,1,"3,5","3,8",856.0
2024-07-03 22:51:00,22:51:00,CNR6010493496,Success,CID457835,eBike,Devanahalli,BTM Layout,126.0,55.0,,,No,,1040,Cash,2,"3,7","4,7",520.0
2024-07-13 09:47:00,09:47:00,CNR3835243117,Success,CID451770,eBike,Malleshwaram,Malleshwaram,259.0,125.0,,,No,,2565,Cash,2,"4,7","4,7",1282.5
2024-07-03 14:43:00,14:43:00,CNR9125868896,Success,CID643464,Mini,Kammanahalli,Jayanagar,252.0,130.0,,,No,,760,Cash,1,"3,2","3,9",760.0
2024-07-27 20:02:00,20:02:00,CNR4569331104,Success,CID109069,Bike,KR Puram,Peenya,105.0,120.0,,,No,,2210,Cash,1,"3,3","4,3",2210.0
2024-07-27 12:17:00,12:17:00,CNR8198981213,Success,CID538878,Auto,Banashankari,Banashankari,252.0,110.0,,,No,,496,UPI,1,4,"4,9",496.0
2024-07-08 13:56:00,13:56:00,CNR8907962323,Success,CID116124,Auto,Vijayanagar,Hosur Road,210.0,35.0,,,No,,2738,UPI,5,"4,4","3,8",547.6
2024-07-17 23:50:00,23:50:00,CNR1643257013,Success,CID181467,Auto,Kengeri,Langford Town,154.0,145.0,,,No,,1056,Cash,1,"3,2",5,1056.0
2024-07-05 06:06:00,06:06:00,CNR2874184184,Success,CID545849,eBike,Bannerghatta Road,Padmanabhanagar,245.0,95.0,,,No,,2659,Cash,5,"4,8","3,4",531.8
2024-07-09 07:50:00,07:50:00,CNR3289238820,Success,CID120556,Prime Sedan,Mysore Road,Kengeri,266.0,140.0,,,No,,2422,Cash,1,"3,3","3,6",2422.0
2024-07-26 18:14:00,18:14:00,CNR5238405860,Success,CID358229,Mini,Frazer Town,Chickpet,42.0,65.0,,,No,,839,UPI,1,"4,4","4,2",839.0
2024-07-11 23:19:00,23:19:00,CNR8291557625,Success,CID503862,Bike,RT Nagar,KR Puram,231.0,120.0,,,No,,2218,Credit Card,1,"3,3",4,2218.0
2024-07-13 20:43:00,20:43:00,CNR1438955069,Success,CID866627,Auto,Chickpet,Sarjapur Road,147.0,100.0,,,No,,984,UPI,1,"3,6","3,5",984.0
2024-07-16 13:51:00,13:51:00,CNR7365566863,Success,CID119714,Auto,Yeshwanthpur,Jayanagar,154.0,125.0,,,Yes,Vehicle Breakdown,905,Cash,1,"3,7","3,4",905.0
2024-07-10 20:51:00,20:51:00,CNR2215677628,Success,CID545003,Prime Plus,Kengeri,Yeshwanthpur,182.0,90.0,,,No,,1649,UPI,3,"4,8","3,5",549.6666666666666
2024-07-26 14:17:00,14:17:00,CNR2169767689,Success,CID735029,Prime SUV,Shantinagar,Chamarajpet,203.0,140.0,,,No,,610,Cash,1,4,"3,8",610.0
2024-07-03 22:01:00,22:01:00,CNR6831429706,Success,CID496389,Prime Sedan,Hebbal,RT Nagar,119.0,115.0,,,Yes,Customer Demand,2568,Cash,3,"4,5","4,1",856.0
2024-07-27 11:19:00,11:19:00,CNR4809263115,Success,CID280348,Auto,Koramangala,Yelahanka,70.0,120.0,,,No,,2630,Cash,2,"4,2","4,8",1315.0
2024-07-02 21:40:00,21:40:00,CNR5628944156,Success,CID600137,Mini,Jayanagar,Kammanahalli,301.0,130.0,,,No,,810,UPI,1,"4,2","3,8",810.0
2024-07-28 01:18:00,01:18:00,CNR1226216177,Success,CID755943,Auto,Malleshwaram,Shantinagar,154.0,30.0,,,Yes,Customer Demand,2317,Cash,2,"3,3","3,4",1158.5
2024-07-12 20:43:00,20:43:00,CNR9032209794,Success,CID444092,eBike,Padmanabhanagar,Bellandur,259.0,110.0,,,No,,1786,Cash,1,"4,2","3,7",1786.0
2024-07-05 06:28:00,06:28:00,CNR1132326701,Success,CID149595,Auto,Padmanabhanagar,Sarjapur Road,70.0,25.0,,,No,,887,Cash,1,"3,3",5,887.0
2024-07-15 15:39:00,15:39:00,CNR5217504140,Success,CID656928,Prime Plus,Indiranagar,Rajarajeshwari Nagar,119.0,90.0,,,No,,2678,Cash,3,"4,5","3,1",892.6666666666666
2024-07-13 23:50:00,23:50:00,CNR1132666600,Success,CID658232,Auto,RT Nagar,Langford Town,98.0,145.0,,,No,,984,Cash,1,3,4,984.0
2024-07-16 23:45:00,23:45:00,CNR7385175309,Success,CID900588,Auto,Frazer Town,Whitefield,161.0,85.0,,,No,,731,UPI,1,"3,8","3,2",731.0
2024-07-02 13:14:00,13:14:00,CNR8804564022,Success,CID570492,Prime Sedan,Ulsoor,MG Road,182.0,120.0,,,No,,561,Cash,1,"3,3","4,7",561.0
2024-07-05 17:25:00,17:25:00,CNR4108085890,Success,CID609489,eBike,MG Road,Bellandur,266.0,120.0,,,No,,1852,UPI,3,"4,2","4,1",617.3333333333334
2024-07-08 00:13:00,00:13:00,CNR8409773258,Success,CID240428,Bike,Vijayanagar,Chamarajpet,203.0,135.0,,,No,,2855,UPI,1,"4,1",4,2855.0
2024-07-13 03:21:00,03:21:00,CNR4808280230,Success,CID194546,Prime Sedan,Kadugodi,Tumkur Road,98.0,80.0,,,No,,1548,Cash,1,"4,9","3,6",1548.0
2024-07-21 04:22:00,04:22:00,CNR3097242857,Success,CID901423,Prime SUV,Yeshwanthpur,Shantinagar,175.0,55.0,,,No,,2937,UPI,4,"4,3","3,8",734.25
2024-07-02 18:34:00,18:34:00,CNR8270765383,Success,CID241650,Prime Plus,Banashankari,Banashankari,133.0,105.0,,,No,,1246,UPI,2,"3,6","3,1",623.0
2024-07-11 08:18:00,08:18:00,CNR1504161835,Success,CID939725,Prime Sedan,Cox Town,Kammanahalli,112.0,80.0,,,No,,1180,UPI,1,3,"3,4",1180.0
2024-07-20 14:05:00,14:05:00,CNR3342910239,Success,CID774822,Mini,Yeshwanthpur,Jayanagar,98.0,50.0,,,No,,2933,Cash,2,"4,4","3,9",1466.5
2024-07-05 13:29:00,13:29:00,CNR5993946371,Success,CID428823,Prime Plus,Indiranagar,Bellandur,203.0,120.0,,,No,,979,UPI,1,"4,6","3,4",979.0
2024-07-17 08:22:00,08:22:00,CNR6035828259,Success,CID639685,Auto,Devanahalli,Bannerghatta Road,175.0,130.0,,,No,,741,UPI,1,"3,7","4,2",741.0
2024-07-19 05:18:00,05:18:00,CNR7997805826,Success,CID774194,eBike,Kengeri,Rajarajeshwari Nagar,35.0,145.0,,,No,,785,UPI,1,"3,1","3,9",785.0
2024-07-19 13:39:00,13:39:00,CNR6476056018,Success,CID887023,Prime Sedan,Hennur,Kengeri,252.0,75.0,,,Yes,Vehicle Breakdown,927,UPI,1,"3,2","3,4",927.0
